我觉得打砸抢的才是恐怖分子吧[微笑][微笑][微笑][微笑][微笑][微笑][微笑][微笑],all lives matter不是么[哆啦A梦吃惊][哆啦A梦吃惊][哆啦A梦吃惊]
 有一次，连续加班两周，每天坐在电脑前超过12小时，一天早晨醒来，眼睛终于罢工了，看东西都是模糊的，赶紧去医院，还好是因为眼睛疲劳过度，暂时看不清东西，休息几天就好了。以后再也不敢怠慢自己的眼睛。,闪开，让我来，我眼睛就很好
 有一次，连续加班两周，每天坐在电脑前超过12小时，一天早晨醒来，眼睛终于罢工了，看东西都是模糊的，赶紧去医院，还好是因为眼睛疲劳过度，暂时看不清东西，休息几天就好了。以后再也不敢怠慢自己的眼睛。,唉，根本不会好，就是不知道怎么护理
 有一次，连续加班两周，每天坐在电脑前超过12小时，一天早晨醒来，眼睛终于罢工了，看东西都是模糊的，赶紧去医院，还好是因为眼睛疲劳过度，暂时看不清东西，休息几天就好了。以后再也不敢怠慢自己的眼睛。,我参加进来，我要想想怎么爱护眼睛
 三民主义是共产主义[哈哈],哈哈，酒话酒话
 三民主义是共产主义[哈哈], 有钱有枪，一手遮天，说啥就是啥
 三民主义是共产主义[哈哈],其实说得没错
 三民主义是共产主义[哈哈],soudayo
 三民主义是共产主义[哈哈], 少将，晚上蛋炒饭，要几份？[二哈]
这是人情与权力的选举，民主选举已成空架子@现代新闻社 @澎湃三秦 @浅海航行靠舵手 @百姓舆论新闻热线 @百姓自媒体 @记录者赵建军 @兰永涛 @看今天微博 @新闻小弟 @向林说事,回复@百姓舆论新闻热线 的赞:谢谢
你用热血书写的荣耀，我必全力以赴。我们邀你一起为国漫加油！,[doge]
 美国警方宣布，反川普游行已演变为暴动。,美剧出番外了
 美国警方宣布，反川普游行已演变为暴动。, 滋事者永远都是这个德行
 美国警方宣布，反川普游行已演变为暴动。,伟大的美利坚人民！站起来！让宪法第二修正案赋予你们力量！拿起你们的木仓！
 美国警方宣布，反川普游行已演变为暴动。,坦克可以开过去了。
 美国警方宣布，反川普游行已演变为暴动。,……
 美国警方宣布，反川普游行已演变为暴动。,灯塔国出动警方驱赶暴动人群，天朝出动高铁快递双十一货品。。。
 美国警方宣布，反川普游行已演变为暴动。,[哆啦A梦吃惊]
 美国警方宣布，反川普游行已演变为暴动。,怕了
 美国警方宣布，反川普游行已演变为暴动。,想回国[二哈]
 美国警方宣布，反川普游行已演变为暴动。, 卧槽！
 美国警方宣布，反川普游行已演变为暴动。,卧槽！
 美国警方宣布，反川普游行已演变为暴动。,警方基本上是支持川普的
不畏强权、不怕艰难，团结维权、冲破黑暗，正义必胜、人民必胜！湖北省农垦局纪委欺上瞒下，公开做假，无人管。武昌热闹地带还在营业房屋评估后价格每平米不到500元。是不是贱卖国有资产,谢转发@邱普中:[赞]敢举报有胆量！
不畏强权、不怕艰难，团结维权、冲破黑暗，正义必胜、人民必胜！湖北省农垦局纪委欺上瞒下，公开做假，无人管。武昌热闹地带还在营业房屋评估后价格每平米不到500元。是不是贱卖国有资产,赤裸裸的抢劫！
 跟国内被洗脑的砸车爱国贼有什么区别。,希卫兵[二哈][二哈]
 直接民主制的弊端。。多数人是否可以剥夺少数人的权利？,结果，你想要的民主，不过是顺遂自己意愿的，不受委屈的，美化后的民主，可笑
 直接民主制的弊端。。多数人是否可以剥夺少数人的权利？,[哆啦A梦吃惊]第一次见他美人民在中国网站上痛心疾首，你国之前不是高呼自由民主世界第一吗，现在开始集体反思体制弊端真是笑死我了
觉得缺少戏剧性。应该侃爷代表民主党，霉霉代表共和党对垒。一个承诺当选一人发一双鞋，另一个承诺当选后全部唱片免费下载。然后双方靠签名照片互相拉票,[doge]
觉得缺少戏剧性。应该侃爷代表民主党，霉霉代表共和党对垒。一个承诺当选一人发一双鞋，另一个承诺当选后全部唱片免费下载。然后双方靠签名照片互相拉票,同时比伯返乡竞选加拿大总理，口号&quot;I'll build a wall to keep those Yankees out and make America pay for it!&quot;
民主的骚乱,我们只是在表达民意[喵喵]
与锡菲罗的一百次许愿：美国侦查机撞毁撞死咱们的飞行员也是他任职出的事吧，好吃好喝的伺候着，最后还给送回去了的也是他吧，谁能把这个给我漂一漂，印尼屠华那事也是他在的时候吧，屁的消息都没有。,撞机这事儿起码让中国省20年，我以为中国人都知道呢
与锡菲罗的一百次许愿：美国侦查机撞毁撞死咱们的飞行员也是他任职出的事吧，好吃好喝的伺候着，最后还给送回去了的也是他吧，谁能把这个给我漂一漂，印尼屠华那事也是他在的时候吧，屁的消息都没有。,+1s.
与锡菲罗的一百次许愿：美国侦查机撞毁撞死咱们的飞行员也是他任职出的事吧，好吃好喝的伺候着，最后还给送回去了的也是他吧，谁能把这个给我漂一漂，印尼屠华那事也是他在的时候吧，屁的消息都没有。,爱的深处[二哈]
与锡菲罗的一百次许愿：美国侦查机撞毁撞死咱们的飞行员也是他任职出的事吧，好吃好喝的伺候着，最后还给送回去了的也是他吧，谁能把这个给我漂一漂，印尼屠华那事也是他在的时候吧，屁的消息都没有。,长者好啊！[爱你]
与锡菲罗的一百次许愿：美国侦查机撞毁撞死咱们的飞行员也是他任职出的事吧，好吃好喝的伺候着，最后还给送回去了的也是他吧，谁能把这个给我漂一漂，印尼屠华那事也是他在的时候吧，屁的消息都没有。, 撞机这事儿起码让中国省20年，我以为中国人都知道呢
与锡菲罗的一百次许愿：美国侦查机撞毁撞死咱们的飞行员也是他任职出的事吧，好吃好喝的伺候着，最后还给送回去了的也是他吧，谁能把这个给我漂一漂，印尼屠华那事也是他在的时候吧，屁的消息都没有。,@珠珠0221
